Caption,Date,FileURL,Filename,InstaURL,Title,Latitude,Longitude,Address,Notes
"Clarence R. O’Crowley Schoolhouse, Coventry. Built in ????. (If you know, please let me know in the comments!) Located on the grounds of the Nathan Hale Homestead, this schoolhouse is named for a former educator at the museum who died in 2013. The museum uses the building in their Colonial Camp program. Here’s a description of what they do there, from the website of Connecticut Landmarks: “Students experience 18th-century school life in our one room schoolhouse. They will participate in 18th-century lesson plans including figuring arithmetic on slate boards. Students will learn how strict an 18th-century classroom could be but will also have the opportunity to enjoy recess using 18th-century  toys such as graces, Jacob’s ladder and wooden hoops.” #coventry #coventryct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",8/14/19 22:19,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/66623024_499045017547309_4159498190127884278_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=101&oh=e1684524b6415d26267238c420484463&oe=5E7B04FD,66623024_499045017547309_4159498190127884278_n.jpg,instagram.com/p/B1KTGz0JIWj,"Clarence R. O. Crowley Schoolhouse, Coventry",41.7642825,-72.346025,"2299 South St, Coventry CT",Located at Nathan Hale Homestead; see https://ctlandmarks.org/educational-programming/nathan-hale-education/
"Update: The (replica) School for Colored Children, Colchester. I posted about the first replica of this school on this site on October 6, 2015; I posted an update featuring this newer (and more realistic) replica on April 17, 2017. Now that it’s been finished for quite a while, I thought I should put up one last update to show its final coat of paint. #ct #Connecticut #colchester #colchesterct #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",6/3/19 10:43,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/61756874_481802005913739_3740094496533822554_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=103&oh=33b4344073397321ecf4d6bce69546aa&oe=5E66C4A1,61756874_481802005913739_3740094496533822554_n.jpg,instagram.com/p/ByPqLj3ph4V,"[Replica] School for Colored Children, Colchester",41.5734999,-72.3321322,"84 S. Main Street, Colchester CT","Old Bacon Academy is 84 S. Main and replica was built on their grounds. Address is of replica built 2017, based on Gull School of Hebron; https://www.norwichbulletin.com/news/20170507/replica-of-historic-1-room-schoolhouse-will-be-gift-to-colchester. See exhibition about school at https://www.colchesterhistory.org/emerging-from-the-shadows-colchesters-school-for-colored-children-1804-1840/"
"Union District School, South Windsor. Built c. 1905, with additional changes made to the building between 1911 and 1920. This is what you get when several smaller district schools are consolidated. In South Windsor, that happened in 1901. After Districts 1 - 4 were merged into the Union District, the town purchased land on Main Street for this school building. Today it’s the home of the South Windsor Historical Society. #southwindsorct 
#ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #schoolhouse",4/29/19 9:17,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/57488167_808623949533265_7314427666527509961_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=101&oh=e0fb6d5081492eb053e01fd1370910c6&oe=5E7037DF,57488167_808623949533265_7314427666527509961_n.jpg,instagram.com/p/Bw1YlxOhzbA,"Union District School, South Windsor",41.8232826,-72.6215385,"771 Main Street, South Windsor CT","Being restored by South Windsor Historical Society, http://southwindsorhistory.org/wordpress/index.php/projects-2/"
"Miry Brook School, Danbury. I couldn’t find when this one was built, but from the style I’d guess mid-late 1800s. Students at Danbury Normal School (a normal school was a training school for teachers) taught here as part of their program beginning in the early 20th century. Miry Brook was considered a model rural/country school. #danbury #danburyct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse
.
.
.
I don’t usually post historic photos, but this one looks so different now, with the changes that have been made to the building, that I thought I’d provide a link to some images of it in its cuter days:
http://archives.library.wcsu.edu/omeka/items/show/3033",4/15/19 9:44,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/56549569_333932594141465_5387662159197575920_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=105&oh=e13b01d006cd82b4ebec810e58135b01&oe=5E6C4D85,56549569_333932594141465_5387662159197575920_n.jpg,instagram.com/p/BwRYglNhY2t,"Miry Brook School, Danbury",41.3681945,-73.4880231,"51 Miry Brook Road, Danbury CT",confirmed
"Great Plain Schoolhouse, Danbury. Built in 1856. Thanks to @vdheckler for letting me know about this one! #danbury #danburyct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",4/8/19 9:45,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/56563290_314920899190793_5598569899885363806_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=105&oh=8411c94148339dbf66b89d24587e692e&oe=5E737825,56563290_314920899190793_5598569899885363806_n.jpg,instagram.com/p/Bv_XH5qBV4u,"Great Plain Schoolhouse, Danbury",41.4250887,-73.4392681,"77 Great Plain Road, Danbury CT","Built 1856, used into 1940s. Danbury sold it in 1954 to Great Plain District Association. See https://www.newstimes.com/news/article/Reverter-Clause-gets-rare-use-for-schoolhouse-79636.php. Address listed in legal document at https://www.ct.gov/csc/lib/csc/pendingproceeds/docket_366/366citysexhibitlist4.pdf"
"Town School, Norwich. Built in 1895. It currently houses the administrative offices of the Norwich public school system. I’m never sure whether to post these larger ones. They’re nothing like the cute little one-room schoolhouses I usually focus on. So sometimes, I see them and drive by without taking a picture. But other times, I feel like I need to include them, because they just don’t build schools like this anymore. Can you even imagine going to class in this building? #norwichct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #schoolhouse",3/25/19 10:39,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/53100571_158063138528351_4450589351162611251_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=111&oh=18796f1ecb2a893d0233b67c71afe991&oe=5E6A2C3E,53100571_158063138528351_4450589351162611251_n.jpg,instagram.com/p/BvbaKxzhzhH,"Town School, Norwich",41.5485124,-72.0951857,"90 Town Street, Norwich CT",https://historicbuildingsct.com/norwich-town-school-1895/
"Barber Hill School, East Windsor. Built in 1861. Another schoolhouse-in-progress! This one is currently being restored by the East Windsor Historical Society, using as much salvaged material from the original school as possible. Originally located on Griffin Road, the schoolhouse is now at the Historical Society’s Scantic Road campus, surrounded by other historic buildings (including the cutest probate court ever.) If you scroll back to December 2016, you’ll find my post about the East Windsor Academy, another former school at this location. #eastwindsor #eastwindsorct 
#ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",3/18/19 9:45,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/52906946_410776249732358_473550964403002357_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=102&oh=c7daccf269543ba63b863d10c4f06943&oe=5E728AA2,52906946_410776249732358_473550964403002357_n.jpg,instagram.com/p/BvJSU9lAxe-,"Barber Hill School, East Windsor",41.9003151,-72.5793328,"115 Scantic Road, East Windsor CT",originally located on Griffin Road near Rockville Road. It was moved to the Historical Society’s Scantic Road property in 2017. https://eastwindsorhistory.com/projects/barber-hill-school-house/ and https://www.journalinquirer.com/towns/east_windsor/barber-hill-school-moves-to-scantic-road-historical-campus/article_4a535d20-f974-11e8-9d94-2b645dc42fde.html
"Workmen's Circle Building, New London. Built in 1929. This is, obviously, a church today. It’s been home to various churches since about 1940. But originally, it was the community building and school of Branch 109 of the Workmen’s Circle (Arbiter Ring), a Jewish cultural organization founded in 1892. (The New London branch was started in 1907.) Their first school was located on Tilley Street, but they soon moved to this building, on Jefferson Avenue. Founded by Jewish immigrants to America, the Workmen’s Circle focused on education and the fight for worker’s rights. In its schools, which children attended after regular public school classes, kids 8 and older were taught to speak and read Yiddish. They would also perform Yiddish-language plays. Today, the group fights for social justice. #nlct #newlondonct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #schoolhouse #jewishhistory",3/11/19 15:48,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/54196541_1793626780742285_294277949456096783_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=105&oh=1f8facebf2723ad8a78c3bac315cec99&oe=5E6DA85C,54196541_1793626780742285_294277949456096783_n.jpg,instagram.com/p/Bu36Xk6ggT1,"Workmen's Circle Building, New London",41.3513453,-72.108822,"80 Jefferson Avenue, New London CT",Found via Google Maps
"Original site of Union School, aka the Nathan Hale Schoolhouse, New London. Union School (built 1773) was one of my first posts on this account (April 19, 2015 if you want to scroll allll the way back!) It was moved six times within New London before coming to rest at its current spot on the Parade Plaza. Recently I noticed this plaque on the side of the Crocker House building, at the corner of State Street and Union Street. Swipe to see a bit of the building today. #newlondonct #readtheplaques #cthistory #ct #Connecticut #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",1/28/19 16:51,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/49489176_739918853057248_3999104876511031333_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=104&oh=bcbc4bd672b5440e27b1e243b8484c21&oe=5E771634,49489176_739918853057248_3999104876511031333_n.jpg,instagram.com/p/BtL4OALA8gU,"Union School original site, New London",41.3546993,-72.0967235,"State St and Union St, New London CT","Photo is of plaque on side of Crocker House building, at the corner of State Street and Union Street. Schoolhouse itself (having been moved 6 times) is located on Atlantic Street, 41.354824,-72.095011 New London, Connecticut https://www.theday.com/article/20160901/NWS01/160909995"
"Hi🙋🏼‍♀️ This is a repeat, the Little Boston School in East Lyme. I first posted it in June 2015, and it looked a little different back then. See it now on my new IG account @thesizeofct. (And, shameless plug alert, follow that account if you’d like to see more CT pics!) I haven’t had much time to go out and take pics, but I’ll be back to posting more schoolhouses here soon!",1/18/19 11:54,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/49314476_2570521936323210_1314155182550783877_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=106&oh=7fd072b3688f25bf0e23c99bbe554c54&oe=5E70FCEE,49314476_2570521936323210_1314155182550783877_n.jpg,instagram.com/p/BsxmOZ7Aj3G,"Little Boston School, East Lyme",41.3177693,-72.2391412,"230 West Main Street, East Lyme CT","Next to Thomas Lee House, 41.317482, -72.238308. See http://lhdct.org/district/little-boston-school"
"The pics you liked most in 2018 are surprisingly not very traditional examples of historic schoolhouses. They’re almost all two-room or larger schools, and/or schools turned homes or businesses. Very interesting! We’ll see what I come across next year.
#topnine2018 #bestnine2018 #ct #connecticut #newengland #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse",12/21/18 19:25,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/46565129_1167303343428552_1108638679052345703_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=100&oh=1bfdf1f19298187b0848774c42926c9b&oe=5E7E35AB,46565129_1167303343428552_1108638679052345703_n.jpg,instagram.com/p/BrqTo4Tg3jM,,,,,collage of other entries
"Former Schoolhouse, Washington. Built c. 1850. It is, or was until recently, a private home; it appeared in the Wall Street Journal in November 2017, with photos showing the ($$$) renovated interior and additions. According to Zillow, it sold in June 2018. And now, it’s clearly getting some kind of makeover. You can’t tell from this angle, but it’s been completely gutted and there’s construction equipment parked all around. The additions seemed to me to be gone. I just hope it’s nicely restored (whatever form it takes) and that someday soon I’ll be able to take a better picture of it! If you know more about this schoolhouse - like what its name was - leave a comment! #washingtonct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #schoolhouse",12/3/18 13:26,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/46702158_519293145254312_7043670906824172004_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=108&oh=c4a7b50f4f488461ec04198c38b307d6&oe=5E7896BC,46702158_519293145254312_7043670906824172004_n.jpg,instagram.com/p/Bq7UORcgLKP,"Former Schoolhouse, Washington",41.6273097,-73.2846962,"93 East St, Washington CT",See Zillow https://www.zillow.com/homedetails/93-East-St-Washington-CT-06793/57832697_zpid/
"Kent Hollow School, Kent. Built in 1853. I tried searching for an address for this one years ago, but every reference I found just sort of assumed readers were very local and knew exactly where it was. (Typical CT.) But recently @unlockingconnecticut posted it on their IG, and when I asked where it was, they replied Kent Hollow Road: one of the handful of streets I’d written down on my list of potential locations. The next time I went to NWCT I found it easily. Thanks @unlockingconnecticut!

#kentct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #schoolhouse",11/26/18 10:55,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/45451044_2154276098168296_2900629596741993718_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=104&oh=c0a1a0ff753ee723d636b1d2ee3a7168&oe=5E749DD6,45451044_2154276098168296_2900629596741993718_n.jpg,instagram.com/p/BqpBXs-gubO,"Kent Hollow School, Kent",41.6990975,-73.4004679,"Kent Hollow Road, Kent CT",per IG post; could not find more info
"Good Hill Schoolhouse, Roxbury. Built c. 1849. (1849 is the first time it appears in town records, though it is believed to have been built before that.) It sits on the Widmark Preserve and is managed by the Roxbury Land Trust, which hosts an open house at the school once a year. #roxburyct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #oneroomschool #schoolhouse #oneroomschoolhouse #ig_ct #scenesofnewengland #scenesofct #ig_connecticut #connecticutgram #ig_newengland #ignewengland #igersnewengland #ctlove",11/19/18 13:13,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/44787193_324589311460855_475658987189631000_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=107&oh=c564f82bf513668bb3af127032bf4372&oe=5E6FCFD2,44787193_324589311460855_475658987189631000_n.jpg,instagram.com/p/BqXPkP7gGV_,"Good Hill Schoolhouse, Roxbury",41.5693988,-73.2691097,"Schoolhouse Rd and Tophet Rd, Roxbury CT","Managed by Roxbury Land Trust, see https://www.newmilfordspectrum.com/news/article/Residents-tour-historic-one-room-Roxbury-10152383.php"
"Academy Building, Thompson. Built c. 1850. Well, probably; that is the date provided on the Thompson Hill Historic District’s nomination form to the National Register of Historic Places. But DMB Design, whose art gallery and design studio currently occupies the building, says it was built in 1796. From one document about early Thompson schools, which did not help me with the date question, I learned that “No girl was thought to have thoroughly learned the alphabet until she had acquired the art of affixing each separate letter perfectly upon an elaborate sampler.” Better than kickball, I guess. #thompsonct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #schoolhouse",10/15/18 12:08,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/43779525_319282962192799_2057908740011960780_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=107&oh=a64a95eb8249050f453f0c33793ba343&oe=5E6D25F1,43779525_319282962192799_2057908740011960780_n.jpg,instagram.com/p/Bo9ASOCBeAa,"Academy Building, Thompson",41.9579471,-71.8628077,"343 Thompson Road, Thompson CT","Address: per DMB Design website, confirmed w/Google Maps"
"North District School, Farmington. Built c. 1798 or c. 1830. (The documents I found contain both dates.🤷🏼‍♀️) It originally stood elsewhere in town and was moved here in 1956. It’s now a dentist office in the Brick Walk Shops (and one of a number of historic structures hiding in this small shopping center) and it’s had many uses since its schoolhouse days, including a stint as a liquor store. Thanks @vdheckler for tipping me off about this one, which I’d driven past dozens of times but never really noticed. #farmington #farmingtonct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #schoolhouse",10/8/18 12:17,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/42526936_569647970158563_6692325384944666303_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=103&oh=e41c7efef6d20eedef05af2c50cfd6db&oe=5E87B5EA,42526936_569647970158563_6692325384944666303_n.jpg,instagram.com/p/Boq_1fpBBMw,"North District School, Farmington",41.7253303,-72.8230105,"771 Farmington Avenue, Farmington CT","Moved to this location in 1956, per post. Used as dental office. See http://farmingtonlibraries.org/wp-content/uploads/2013/11/Brickwalk-Lane.pdf"
"Goffee Street School, New Haven. Built in 1864. Originally built as a school for African American children, it was closed 10 years later when Connecticut ended segregated education. Today it’s a Masonic Hall and a stop on the Connecticut Freedom Trail. There’s more at http://www.ctfreedomtrail.org/trail/concept-of-freedom/sites/#!/goffe-street-school
#nhv #newhaven #newhavenct #ctfreedomtrail #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #schoolhouse",10/1/18 15:39,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/42310576_1718136961642882_7135893613981344016_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=110&oh=85d24c9031628fb1deef2143e60b6945&oe=5E722C8E,42310576_1718136961642882_7135893613981344016_n.jpg,instagram.com/p/BoZVZJNhNeS,"Goffee Street School, New Haven",41.3151713,-72.9348247,"106 Goffe Street, New Haven CT",See http://www.ctfreedomtrail.org/trail/concept-of-freedom/sites/#!/goffe-street-school and http://walknewhaven.org/tours/sites/lowerdixwell/lowerdixwell_site03.html
"Former Woodmont schoolhouse, Milford. Built in 1960. (Sorry for the poor quality pic; I took this years ago before I had any idea this building had once been a schoolhouse!) This two-room school was built as a portable classroom. It was moved to its current location on Clinton Street in 1976. The building was then used as the Woodmont Borough Hall until the borough’s government moved into a former firehouse. The old school, now zoned as a single-family home, was put up for auction in 2016. At the time, the Borough warden stated it had “no historic value.” Sad trombone. #woodmontct #milfordct #ct #Connecticut #cthistory #newengland #newenglandhistory #oldschool #oldschoolhouse #tworoomschoolhouse #schoolhouse",8/27/18 13:02,https://scontent-lhr3-1.cdninstagram.com/v/t51.2885-15/e35/39326309_652527208465980_6473832108320956859_n.jpg?_nc_ht=scontent-lhr3-1.cdninstagram.com&_nc_cat=100&oh=ad8eee8b2b6f1b7be222a9e48357532b&oe=5E738767,39326309_652527208465980_6473832108320956859_n.jpg,instagram.com/p/Bm-7f7Vh0SF,"Former Woodmont schoolhouse, Milford",41.227922,-72.995385,"39 Clinton Street, Milford CT",Was for sale in 2016
